
'Niceville','Tate Taylor','1999-09-15',140,'ROMANTIK','Bryce Howard'
'Svindel på højt plan','Brett Ratner','1998-08-15',115,'KOMEDIE','Ben Stiller'
'Løvernes konge','Disney','1997-07-12',89,'TEGNEFILM','En løve'
'Venskab med fryns','Ivan Reitman','1996-06-05',110,'KOMEDIE','Bryce Howard'
'Tømmermænd i Thailand','Tood Phillip','1992-04-26',120,'KOMEDIE','Bradly Cooper'
'Fast and furios 5','Justin Lin','1990-03.24',130,'ACTION','Vin Diesel'
'Red riding hood','Chatherine Hardwicke','1997-02-20',125,'FAMILIE','Michael Hogan'
'Ritualet','Mikael Hafstrøm','1994-05-06',108,'GYSER','Rutger Hauer'
'Yogi bear','Eric Brevig','1996-05-02',80,'TEGNEFILM','Yogi Bear'
'The twilight saga','Bill Condon','1994-03-04',125,'ROMANTIK','Kirsten Stewart'
'Rejsen til jordens indre','Eric Brevig','1996-02-04',120,'ACTION','Anita Briem'
